"Kod";"Nazwa";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";
1210000;"Powiat nowosądecki";2377,06;2511,79;2610,04;2753,73;2810,22;2871,55;2989,86;3142,18;3240,29;3396,14;;
1211000;"Powiat nowotarski";2335,60;2494,10;2562,74;2683,81;2784,19;2882,17;3039,93;3121,96;3190,67;3400,75;;
1212000;"Powiat olkuski";2973,36;3071,36;3235,07;3347,82;3458,08;3546,79;3664,13;3731,21;3866,38;4139,68;;
1213000;"Powiat oświęcimski";2754,20;2850,30;2964,89;3130,75;3229,65;3386,14;3541,48;3677,68;3808,61;4048,20;;
1214000;"Powiat proszowicki";2532,91;2716,13;2780,44;2895,82;2916,22;3021,40;3180,67;3313,87;3406,45;3675,73;;
1215000;"Powiat suski";2539,85;2638,68;2721,06;2898,65;3034,96;3076,24;3174,31;3323,95;3406,33;3675,07;;
1216000;"Powiat tarnowski";2293,93;2471,42;2592,92;2708,52;2760,17;2827,56;2948,00;3049,76;3155,92;3308,87;;
1217000;"Powiat tatrzański";2543,73;2740,25;2801,91;3025,93;3165,78;3276,19;3401,20;3520,09;3687,87;3916,60;;
1218000;"Powiat wadowicki";2367,24;2494,01;2573,21;2702,67;2772,44;2926,30;3004,74;3115,83;3281,91;3495,69;;
1219000;"Powiat wielicki";2667,89;2824,28;2987,94;3205,82;3334,14;3479,18;3661,08;3812,11;3942,56;4164,18;;
1261000;"Powiat m.Kraków";3259,63;3423,56;3543,43;3722,48;3877,57;3997,80;4152,52;4431,17;4635,26;4966,20;;
1262000;"Powiat m.Nowy Sącz";2603,28;2726,15;2825,56;2925,11;2985,71;3098,19;3193,43;3302,29;3416,14;3578,27;;
1263000;"Powiat m.Tarnów";2690,79;2872,21;3015,78;3226,32;3349,31;3448,15;3513,75;3668,76;3791,71;3947,37;;
1400000;"MAZOWIECKIE";4036,26;4179,63;4279,55;4504,66;4637,58;4773,41;4927,34;5098,55;5240,86;5523,65;;
1401000;"Powiat białobrzeski";2565,06;2818,81;3001,33;3179,16;3355,88;3384,33;3612,78;3501,61;3461,85;3796,54;;
1402000;"Powiat ciechanowski";2832,91;2994,66;3130,28;3266,07;3385,81;3460,07;3564,73;3702,17;3840,19;4093,02;;
1403000;"Powiat garwoliński";2642,98;2838,35;3052,01;3163,48;3277,05;3406,49;3606,76;3671,07;3776,65;3893,41;;
1404000;"Powiat gostyniński";2606,63;2630,32;2710,26;2861,89;2925,45;3073,49;3164,95;3270,47;3394,93;3652,70;;
1405000;"Powiat grodziski";3420,75;3371,74;3495,98;3685,77;3854,84;3997,34;4135,31;4211,62;4352,30;4682,77;;
1406000;"Powiat grójecki";3044,41;3149,80;3152,85;3490,82;3589,76;3646,41;3845,30;3913,66;4133,21;4340,66;;
1407000;"Powiat kozienicki";3365,76;3580,52;3818,70;4067,12;4239,66;4445,71;4635,34;4698,55;4930,22;5164,02;;
1408000;"Powiat legionowski";3084,62;3240,22;3269,07;3535,55;3600,74;3689,53;3748,86;3889,27;3975,24;4166,59;;
1409000;"Powiat lipski";2456,24;2611,10;2742,24;3059,71;3098,37;3228,39;3372,09;3476,69;3567,68;3720,86;;
1410000;"Powiat łosicki";2486,81;2646,05;2797,16;2942,59;3025,24;3058,17;3280,27;3373,06;3369,26;3638,32;;
1411000;"Powiat makowski";2312,54;2563,58;2718,94;3208,26;3010,45;3064,46;3169,38;3217,27;3359,63;3593,25;;
1412000;"Powiat miński";2681,91;2780,46;2895,49;3100,22;3136,52;3238,87;3400,41;3533,17;3600,49;3858,75;;
1413000;"Powiat mławski";2313,26;2450,21;2410,05;2663,08;2670,07;2824,25;2929,91;3158,83;3262,68;3472,99;;
1414000;"Powiat nowodworski";3294,60;3608,15;3812,50;4043,25;4145,35;4283,89;4560,17;4714,08;4790,57;5042,02;;
1415000;"Powiat ostrołęcki";2798,44;2823,73;2934,19;3114,20;3213,82;3248,62;3414,19;3556,24;3584,42;3800,68;;
1416000;"Powiat ostrowski";2504,57;2721,24;2830,95;3088,60;3174,79;3340,13;3395,05;3398,20;3562,19;3870,99;;
1417000;"Powiat otwocki";2944,27;3124,30;3279,18;3412,78;3490,03;3629,76;3718,35;3853,17;3952,57;4159,58;;
1418000;"Powiat piaseczyński";3263,55;3457,81;3531,79;3673,60;3810,36;3892,64;4118,49;4030,78;4149,91;4102,07;;
1419000;"Powiat płocki";2583,43;2725,27;2847,74;3035,58;3223,08;3212,67;3351,79;3449,24;3509,53;3506,28;;
1420000;"Powiat płoński";2684,48;2897,99;2998,43;3148,95;3261,65;3370,85;3499,91;3555,74;3696,36;3866,14;;
1421000;"Powiat pruszkowski";3774,56;3883,50;4272,59;4479,38;4402,16;4726,11;4773,19;5064,05;5153,53;5405,38;;
1422000;"Powiat przasnyski";2632,16;2756,12;2914,19;3077,41;3203,61;3246,87;3357,77;3485,56;3574,27;3752,91;;
1423000;"Powiat przysuski";2450,46;2590,71;2815,47;2971,37;3062,87;3142,24;3330,24;3330,53;3423,77;3610,91;;
1424000;"Powiat pułtuski";2438,23;2679,49;2761,46;2956,09;3094,05;3113,27;3163,84;3165,95;3399,46;3609,92;;
1425000;"Powiat radomski";2344,76;2422,38;2573,70;2719,60;2857,68;2961,92;3062,57;3130,03;3276,95;3477,49;;
1426000;"Powiat siedlecki";2359,38;2481,86;2620,39;2818,47;3014,41;3059,64;3202,45;3253,13;3353,98;3522,32;;
1427000;"Powiat sierpecki";2388,30;2703,99;2812,38;2863,24;3043,46;3161,67;3184,66;3253,31;3393,19;3716,02;;
1428000;"Powiat sochaczewski";2948,57;3252,24;3268,24;3418,04;3740,62;3770,19;3943,02;4016,39;4171,83;4429,03;;
1429000;"Powiat sokołowski";2551,94;2620,86;2807,84;2865,03;2974,75;3034,42;3150,12;3568,59;3427,41;3684,06;;
1430000;"Powiat szydłowiecki";2263,65;2498,38;2628,52;2782,28;2949,78;2950,92;3081,57;3103,03;3329,68;3438,25;;
1432000;"Powiat warszawski zachodni";3518,31;3549,25;3678,15;3850,65;4050,54;4118,21;4335,48;4525,62;4800,81;5054,09;;
1433000;"Powiat węgrowski";2449,36;2634,86;2694,10;2874,11;2970,76;3075,59;3256,72;3273,22;3396,09;3570,38;;
1434000;"Powiat wołomiński";2862,74;2990,20;3135,47;3319,41;3447,14;3504,20;3583,98;3634,53;3851,80;4077,96;;
